Trained On,Tested On,mIoU,mRecall,mPrecision
egohands,egohands,0.8603,0.9156,0.9343
egohands,ego_youtube_hands,0.2190,0.4496,0.2993
egohands,gtea,0.7342,0.8350,0.8589
egohands,hand_over_face,0.4149,0.7272,0.4914
egohands,combined4,0.7580,0.8733,0.8517
ego_youtube_hands,egohands,0.2471,0.2634,0.7999
ego_youtube_hands,ego_youtube_hands,0.6356,0.6974,0.8776
ego_youtube_hands,gtea,0.1292,0.1313,0.8906
ego_youtube_hands,hand_over_face,0.1217,0.1322,0.6047
ego_youtube_hands,combined4,0.2346,0.2484,0.8076
gtea,egohands,0.3104,0.4315,0.5251
gtea,ego_youtube_hands,0.0377,0.0665,0.0800
gtea,gtea,0.7824,0.8339,0.9269
gtea,hand_over_face,0.0680,0.1523,0.1094
gtea,combined4,0.3416,0.4755,0.5482
hand_over_face,egohands,0.4383,0.6357,0.5853
hand_over_face,ego_youtube_hands,0.2618,0.3765,0.4620
hand_over_face,gtea,0.4100,0.4387,0.8623
hand_over_face,hand_over_face,0.7216,0.8410,0.8357
hand_over_face,combined4,0.4406,0.6016,0.6221
